#0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0/
#0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0/
N* =. =. ^. =. =. ^. =0 ^. =. =. ^. =. =. E*/
|. #0 #0 |. #0 #0 |. #0 |. #0 #0 |. #0 #0 |./
|. #0 N. v. =. ^. S. #0 W. ^. =. v. E. #0 |./
W. ^. S. #0 #0 |. #0 #0 #0 |. #0 #0 W. ^. S./
#0 |. #0 #0 #0 <0 =0 =0 =0 >0 #0 #0 #0 |. #0/
=0 #. =. =. =. >0 [0 U0 ]0 <0 =. =. =. #. =0/
#0 |. #0 #0 #0 <0 =0 ^0 =0 >0 #0 #0 #0 |. #0/
N. v. E. #0 N. S. #0 |. #0 W. E. #0 N. v. E./
|. #0 W. ^. S. #0 #0 |. #0 #0 W. ^. S. #0 |./
|. #0 #0 |. #0 #0 N. v. E. #0 #0 |. #0 #0 |./
W* =. =. v. =. =. S. #0 W. =. =. v. =. =. S*/
#0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0/
#0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0 #0/
